postId,title,slug,pageUrl,postedAt,baseScore,voteCount,commentCount,finalReviewVoteScoreHighKarma,year
bfD9TYJqy7v76CwGa,A few thoughts on my self-study for alignment research,a-few-thoughts-on-my-self-study-for-alignment-research,https://www.lesswrong.com/posts/bfD9TYJqy7v76CwGa/a-few-thoughts-on-my-self-study-for-alignment-research,2022-12-30T22:05:58.859Z,5,3,0,0,2022
qnazakWbQhF2fLq6h,Christmas Microscopy,christmas-microscopy,https://www.lesswrong.com/posts/qnazakWbQhF2fLq6h/christmas-microscopy,2022-12-30T21:10:01.937Z,26,12,0,0,2022
obJ3KwMKjH5GXEYn9,What "upside" of AI?,what-upside-of-ai,https://www.lesswrong.com/posts/obJ3KwMKjH5GXEYn9/what-upside-of-ai,2022-12-30T20:58:49.165Z,0,10,5,0,2022
byKF3mnaNRrbkDPWv,Evidence on recursive self-improvement from current ML,evidence-on-recursive-self-improvement-from-current-ml,https://www.lesswrong.com/posts/byKF3mnaNRrbkDPWv/evidence-on-recursive-self-improvement-from-current-ml,2022-12-30T20:53:22.462Z,31,11,12,0,2022
5vmNFRQMKxzwNm7QZ,Is ChatGPT TAI? ,is-chatgpt-tai,https://www.lesswrong.com/posts/5vmNFRQMKxzwNm7QZ/is-chatgpt-tai,2022-12-30T19:44:50.508Z,14,4,5,0,2022
FBG7AghvvP7fPYzkx,My thoughts on OpenAI's alignment plan,my-thoughts-on-openai-s-alignment-plan-1,https://www.lesswrong.com/posts/FBG7AghvvP7fPYzkx/my-thoughts-on-openai-s-alignment-plan-1,2022-12-30T19:33:15.019Z,55,27,3,0,2022
NKbF8RvNiQyfWoz8e,Beyond Rewards and Values: A Non-dualistic Approach to Universal Intelligence,beyond-rewards-and-values-a-non-dualistic-approach-to,https://www.lesswrong.com/posts/NKbF8RvNiQyfWoz8e/beyond-rewards-and-values-a-non-dualistic-approach-to,2022-12-30T19:05:24.664Z,10,11,4,0,2022
LQjJCgAxMasT4KNTs,10 Years of LessWrong,10-years-of-lesswrong,https://www.lesswrong.com/posts/LQjJCgAxMasT4KNTs/10-years-of-lesswrong,2022-12-30T17:15:17.498Z,73,35,2,1,2022
Qox3vBqaiShDgsGwd,Chatbots as a Publication Format,chatbots-as-a-publication-format,https://www.lesswrong.com/posts/Qox3vBqaiShDgsGwd/chatbots-as-a-publication-format,2022-12-30T14:11:21.015Z,6,3,6,0,2022
qX3SjauHEjjzbDApy,Human sexuality as an interesting case study of alignment,human-sexuality-as-an-interesting-case-study-of-alignment,https://www.lesswrong.com/posts/qX3SjauHEjjzbDApy/human-sexuality-as-an-interesting-case-study-of-alignment,2022-12-30T13:37:20.176Z,39,26,26,0,2022
CCSDWeajedGhJWydu,The Twitter Files: Covid Edition,the-twitter-files-covid-edition,https://www.lesswrong.com/posts/CCSDWeajedGhJWydu/the-twitter-files-covid-edition,2022-12-30T13:30:01.073Z,32,16,2,0,2022
bwqvNnLF4dpNr9vfz,Worldly Positions archive, briefly with private drafts,worldly-positions-archive-briefly-with-private-drafts,https://www.lesswrong.com/posts/bwqvNnLF4dpNr9vfz/worldly-positions-archive-briefly-with-private-drafts,2022-12-30T12:20:05.430Z,11,3,0,0,2022
TWorNr22hhYegE4RT,Models Don't "Get Reward",models-don-t-get-reward,https://www.lesswrong.com/posts/TWorNr22hhYegE4RT/models-don-t-get-reward,2022-12-30T10:37:11.798Z,305,197,61,32.900001525878906,2022
AL5EeWr7umN64CFzR,The hyperfinite timeline,the-hyperfinite-timeline,https://www.lesswrong.com/posts/AL5EeWr7umN64CFzR/the-hyperfinite-timeline,2022-12-30T09:30:06.483Z,3,5,6,0,2022
h3qMKzCrzJvjvSWbR,Reactive devaluation: Bias in Evaluating AGI X-Risks,reactive-devaluation-bias-in-evaluating-agi-x-risks,https://www.lesswrong.com/posts/h3qMKzCrzJvjvSWbR/reactive-devaluation-bias-in-evaluating-agi-x-risks,2022-12-30T09:02:58.450Z,-15,7,9,0,2022
5BAD7Cq2yrrYnyi3x,Things I carry almost every day, as of late December 2022,things-i-carry-almost-every-day-as-of-late-december-2022,https://www.lesswrong.com/posts/5BAD7Cq2yrrYnyi3x/things-i-carry-almost-every-day-as-of-late-december-2022,2022-12-30T07:40:01.261Z,35,28,9,0,2022
gw5iTQwCRMgRt3Rip,More ways to spot abysses,more-ways-to-spot-abysses,https://www.lesswrong.com/posts/gw5iTQwCRMgRt3Rip/more-ways-to-spot-abysses,2022-12-30T06:30:06.301Z,21,11,1,0,2022
mypCA3AzopBhnYB6P,Language models are nearly AGIs but we don't notice it because we keep shifting the bar,language-models-are-nearly-agis-but-we-don-t-notice-it,https://www.lesswrong.com/posts/mypCA3AzopBhnYB6P/language-models-are-nearly-agis-but-we-don-t-notice-it,2022-12-30T05:15:15.625Z,103,48,13,0,2022
CepZgbkFpnEWgagjW,Progress links and tweets, 2022-12-29,progress-links-and-tweets-2022-12-29,https://www.lesswrong.com/posts/CepZgbkFpnEWgagjW/progress-links-and-tweets-2022-12-29,2022-12-30T04:54:51.905Z,12,3,0,0,2022
PfmygQyvzcjG48HAK,Announcing The Filan Cabinet,announcing-the-filan-cabinet,https://www.lesswrong.com/posts/PfmygQyvzcjG48HAK/announcing-the-filan-cabinet,2022-12-30T03:10:00.494Z,21,9,2,0,2022
dxqHdJr9fi4KZ4mZu,Effective Evil Causes?,effective-evil-causes,https://www.lesswrong.com/posts/dxqHdJr9fi4KZ4mZu/effective-evil-causes,2022-12-30T02:56:31.459Z,-12,8,2,0,2022
QL7J9wmS6W2fWpofd,But is it really in Rome? An investigation of the ROME model editing technique,but-is-it-really-in-rome-an-investigation-of-the-rome-model,https://www.lesswrong.com/posts/QL7J9wmS6W2fWpofd/but-is-it-really-in-rome-an-investigation-of-the-rome-model,2022-12-30T02:40:36.713Z,102,47,1,0,2022
camG6t6SxzfasF42i,A Year of AI Increasing AI Progress,a-year-of-ai-increasing-ai-progress,https://www.lesswrong.com/posts/camG6t6SxzfasF42i/a-year-of-ai-increasing-ai-progress,2022-12-30T02:09:39.458Z,148,72,3,1,2022
bepFsfCx3LiauFtdB,Why not spend more time looking at human alignment?,why-not-spend-more-time-looking-at-human-alignment-1,https://www.lesswrong.com/posts/bepFsfCx3LiauFtdB/why-not-spend-more-time-looking-at-human-alignment-1,2022-12-30T00:22:13.666Z,11,8,3,0,2022
KHh7txJyECK9AriZq,Why and how to write things on the Internet,why-and-how-to-write-things-on-the-internet,https://www.lesswrong.com/posts/KHh7txJyECK9AriZq/why-and-how-to-write-things-on-the-internet,2022-12-29T22:40:04.636Z,20,12,2,0,2022
