postId,title,slug,pageUrl,postedAt,baseScore,voteCount,commentCount,finalReviewVoteScoreHighKarma,year
uYMy2vvJtsxQ4Fdow,"2020's Prediction Thread",2020-s-prediction-thread,https://www.lesswrong.com/posts/uYMy2vvJtsxQ4Fdow/2020-s-prediction-thread,2019-12-30T23:18:46.991Z,48,18,77,0,2019
2TbaymnjRPh3qXDmq,"2010s Predictions Review",2010s-predictions-review,https://www.lesswrong.com/posts/2TbaymnjRPh3qXDmq/2010s-predictions-review,2019-12-30T21:47:14.699Z,47,18,10,0,2019
WsLyyFyCiw89kgQH4,"Looking for non-AI people to work on AGI risks",looking-for-non-ai-people-to-work-on-agi-risks,https://www.lesswrong.com/posts/WsLyyFyCiw89kgQH4/looking-for-non-ai-people-to-work-on-agi-risks,2019-12-30T20:41:43.625Z,10,6,5,0,2019
prNqz5cv9Z4euajS7,"A humane solution was never intended.",a-humane-solution-was-never-intended,https://www.lesswrong.com/posts/prNqz5cv9Z4euajS7/a-humane-solution-was-never-intended,2019-12-30T20:41:14.350Z,-17,6,2,0,2019
sM49nZzHhMvPyFDyB,"Austin LW: Survey for far-traveling attendees Jan-Feb 2020",austin-lw-survey-for-far-traveling-attendees-jan-feb-2020,https://www.lesswrong.com/posts/sM49nZzHhMvPyFDyB/austin-lw-survey-for-far-traveling-attendees-jan-feb-2020,2019-12-30T15:40:22.442Z,2,1,1,0,2019
4NrmDPrCAnwM3uiyB,"Imperfect Competition",imperfect-competition,https://www.lesswrong.com/posts/4NrmDPrCAnwM3uiyB/imperfect-competition,2019-12-30T12:20:00.375Z,63,25,8,0,2019
tCwresAuSvk867rzH,"Speaking Truth to Power Is a Schelling Point",speaking-truth-to-power-is-a-schelling-point,https://www.lesswrong.com/posts/tCwresAuSvk867rzH/speaking-truth-to-power-is-a-schelling-point,2019-12-30T06:12:38.637Z,52,24,19,0,2019
2a978N372CuY6aS3b,"l",l,https://www.lesswrong.com/posts/2a978N372CuY6aS3b/l,2019-12-30T05:23:51.727Z,3,4,8,0,2019
dX7vNKg4vex5vxWCW,"Making decisions under moral uncertainty",making-decisions-under-moral-uncertainty-1,https://www.lesswrong.com/posts/dX7vNKg4vex5vxWCW/making-decisions-under-moral-uncertainty-1,2019-12-30T01:49:48.634Z,20,8,26,0,2019
KZ45rtHfSbnKoaqmv,"CFAR's 2019 Fundraiser",cfar-s-2019-fundraiser,https://www.lesswrong.com/posts/KZ45rtHfSbnKoaqmv/cfar-s-2019-fundraiser,2019-12-30T00:03:10.040Z,32,10,1,0,2019
